UID,WID,Understand,attempt
30914025,22,4,1
30914025,32,4,1
30914025,45,2,1
30914025,46,4,1
30914025,54,2,1
30914025,58,2,1
30914025,59,2,1
30914025,60,4,1
30914025,61,4,1
30914025,67,4,1
30914025,68,4,1
30914025,76,2,1
30914025,89,2,1
30914025,92,4,1
30914025,99,4,1
30914025,127,2,1
30914025,129,4,1
30914025,138,2,1
30914025,139,4,1
30914025,141,2,1
30914025,143,4,1
30914025,147,2,1
30914025,160,2,1
30914025,161,2,1
30914025,162,2,1
30914025,176,2,1
30914025,181,2,1
30914025,184,2,1
30914025,186,2,1
30914025,191,2,1
30914026,22,4,1
30914026,32,4,1
30914026,45,4,1
30914026,46,2,1
30914026,54,4,1
30914026,58,2,1
30914026,59,4,1
30914026,60,4,1
30914026,61,2,1
30914026,67,4,1
30914026,68,4,1
30914026,76,2,1
30914026,89,4,1
30914026,92,4,1
30914026,99,2,1
30914026,127,2,1
30914026,129,2,1
30914026,138,4,1
30914026,139,2,1
30914026,141,2,1
30914026,143,4,1
30914026,147,2,1
30914026,160,2,1
30914026,161,2,1
30914026,162,4,1
30914026,176,4,1
30914026,181,2,1
30914026,184,2,1
30914026,186,2,1
30914026,191,4,1
30914904,22,4,1
30914904,32,4,1
30914904,45,4,1
30914904,46,4,1
30914904,54,4,1
30914904,58,2,1
30914904,59,4,1
30914904,60,4,1
30914904,61,4,1
30914904,67,4,1
30914904,68,4,1
30914904,76,2,1
30914904,89,4,1
30914904,92,4,1
30914904,99,4,1
30914904,127,4,1
30914904,129,4,1
30914904,138,2,1
30914904,139,2,1
30914904,141,2,1
30914904,143,4,1
30914904,147,2,1
30914904,160,2,1
30914904,161,2,1
30914904,162,4,1
30914904,176,4,1
30914904,181,4,1
30914904,184,4,1
30914904,186,4,1
30914904,191,4,1
60910014,22,4,1
60910014,32,4,1
60910014,45,2,1
60910014,46,4,1
60910014,54,4,1
60910014,58,4,1
60910014,59,2,1
60910014,60,4,1
60910014,61,4,1
60910014,67,4,1
60910014,68,4,1
60910014,76,2,1
60910014,89,2,1
60910014,92,4,1
60910014,99,4,1
60910014,127,2,1
60910014,129,4,1
60910014,138,4,1
60910014,139,2,1
60910014,141,4,1
60910014,143,4,1
60910014,147,2,1
60910014,160,4,1
60910014,161,2,1
60910014,162,4,1
60910014,176,2,1
60910014,181,4,1
60910014,184,2,1
60910014,186,4,1
60910014,191,4,1
60910020,22,4,1
60910020,32,4,1
60910020,45,4,1
60910020,46,4,1
60910020,54,4,1
60910020,58,2,1
60910020,59,4,1
60910020,60,4,1
60910020,61,4,1
60910020,67,4,1
60910020,68,4,1
60910020,76,2,1
60910020,89,4,1
60910020,92,4,1
60910020,99,4,1
60910020,127,2,1
60910020,129,4,1
60910020,138,4,1
60910020,139,4,1
60910020,141,2,1
60910020,143,4,1
60910020,147,4,1
60910020,160,4,1
60910020,161,4,1
60910020,162,4,1
60910020,176,2,1
60910020,181,4,1
60910020,184,4,1
60910020,186,4,1
60910020,191,4,1
60910022,22,4,1
60910022,32,4,1
60910022,45,2,1
60910022,46,4,1
60910022,54,2,1
60910022,58,2,1
60910022,59,2,1
60910022,60,2,1
60910022,61,4,1
60910022,67,4,1
60910022,68,4,1
60910022,76,2,1
60910022,89,2,1
60910022,92,4,1
