UID,WID,attempt,Understand
30914025,22,1,4
30914025,32,1,4
30914025,46,1,4
30914025,58,1,2
30914025,60,1,2
30914025,61,1,2
30914025,68,1,4
30914025,76,1,2
30914025,92,1,2
30914025,99,1,4
30914025,127,1,2
30914025,129,1,4
30914025,139,1,2
30914025,141,1,2
30914025,143,1,4
30914025,147,1,2
30914025,160,1,2
30914025,162,1,2
30914025,176,1,2
30914025,181,1,2
30914025,184,1,2
30914025,186,1,2
30914025,191,1,2
30914026,22,1,4
30914026,45,1,2
30914026,54,1,4
30914026,59,1,4
30914026,60,1,4
30914026,61,1,2
30914026,67,1,4
30914026,76,1,2
30914026,89,1,2
30914026,92,1,4
30914026,99,1,2
30914026,127,1,2
30914026,141,1,2
30914026,147,1,2
30914026,160,1,2
30914026,161,1,2
30914026,162,1,4
30914026,181,1,2
30914026,184,1,2
30914904,32,1,4
30914904,45,1,4
30914904,46,1,4
30914904,54,1,2
30914904,58,1,2
30914904,59,1,4
30914904,60,1,4
30914904,61,1,4
30914904,67,1,4
30914904,68,1,4
30914904,76,1,2
30914904,89,1,4
30914904,92,1,2
30914904,99,1,4
30914904,127,1,4
30914904,129,1,4
30914904,138,1,2
30914904,139,1,2
30914904,141,1,2
30914904,161,1,2
30914904,162,1,4
30914904,176,1,4
30914904,184,1,4
30914904,186,1,4
30914904,191,1,4
60910014,22,1,4
60910014,45,1,4
60910014,46,1,4
60910014,54,1,4
60910014,58,1,4
60910014,59,1,2
60910014,67,1,4
60910014,68,1,4
60910014,76,1,2
60910014,89,1,2
60910014,92,1,4
60910014,99,1,4
60910014,127,1,2
60910014,129,1,4
60910014,138,1,4
60910014,139,1,2
60910014,143,1,4
60910014,147,1,2
60910014,161,1,2
60910014,162,1,4
60910014,176,1,2
60910014,181,1,2
60910014,184,1,4
60910014,186,1,4
60910020,22,1,4
60910020,32,1,4
60910020,45,1,4
60910020,46,1,4
60910020,54,1,4
60910020,59,1,2
60910020,60,1,4
60910020,61,1,4
60910020,68,1,4
60910020,89,1,2
60910020,99,1,4
60910020,129,1,4
60910020,138,1,4
60910020,139,1,4
60910020,143,1,4
60910020,147,1,2
60910020,160,1,2
60910020,161,1,4
60910020,162,1,4
60910020,181,1,2
60910020,186,1,4
60910020,191,1,4
60910022,22,1,4
60910022,32,1,4
60910022,45,1,4
60910022,58,1,2
60910022,59,1,4
60910022,60,1,2
60910022,61,1,4
60910022,76,1,2
60910022,89,1,2
60910022,99,1,2
60910022,127,1,2
60910022,129,1,2
60910022,139,1,2
60910022,141,1,4
60910022,143,1,4
60910022,147,1,2
60910022,160,1,2
60910022,161,1,2
60910022,162,1,4
60910022,176,1,2
60910022,181,1,4
60910022,184,1,4
60910022,186,1,4
60910037,22,1,4
60910037,45,1,2
60910037,46,1,4
60910037,54,1,4
60910037,58,1,2
60910037,59,1,2
60910037,60,1,4
60910037,61,1,2
60910037,67,1,2
60910037,68,1,2
60910037,76,1,2
60910037,89,1,2
60910037,99,1,2
60910037,127,1,2
60910037,129,1,2
60910037,138,1,4
60910037,139,1,2
60910037,141,1,2
60910037,143,1,4
60910037,147,1,2
60910037,160,1,2
60910037,161,1,2
60910037,162,1,2
60910037,176,1,2
60910037,181,1,2
60910037,184,1,2
60910037,186,1,2
60910044,22,1,4
60910044,32,1,4
60910044,76,1,4
60910044,89,1,2
60910044,99,1,2
60910044,127,1,2
60910044,138,1,2
60910044,139,1,2
60910044,141,1,2
60910044,143,1,4
60910044,147,1,2
60910044,160,1,2
60910044,161,1,2
60910044,181,1,2
60910044,184,1,2
60910044,191,1,2
60910046,22,1,4
60910046,32,1,4
60910046,45,1,2
60910046,46,1,4
60910046,54,1,4
60910046,58,1,2
60910046,59,1,4
60910046,67,1,4
60910046,92,1,2
60910046,127,1,4
60910046,129,1,4
60910046,138,1,2
60910046,139,1,2
60910046,141,1,2
60910046,147,1,2
60910046,160,1,2
60910046,161,1,2
60910046,184,1,2
60910046,191,1,4
60910090,22,1,4
60910090,32,1,4
60910090,46,1,4
60910090,54,1,4
60910090,58,1,2
60910090,59,1,2
60910090,60,1,2
60910090,61,1,4
60910090,67,1,4
60910090,68,1,2
60910090,76,1,4
60910090,89,1,2
60910090,99,1,2
60910090,127,1,2
60910090,138,1,2
60910090,139,1,2
60910090,141,1,2
60910090,147,1,2
60910090,161,1,2
60910090,162,1,4
60910090,181,1,4
60910090,186,1,2
60910090,191,1,4
60910103,22,1,4
60910103,32,1,4
60910103,46,1,4
60910103,58,1,2
60910103,59,1,4
60910103,60,1,2
60910103,67,1,4
60910103,76,1,2
60910103,92,1,4
60910103,99,1,4
60910103,127,1,2
60910103,129,1,4
60910103,138,1,2
60910103,143,1,4
60910103,162,1,4
60910103,191,1,4
60911041,22,1,4
60911041,32,1,4
60911041,45,1,2
60911041,46,1,4
60911041,58,1,2
60911041,59,1,4
60911041,60,1,2
60911041,76,1,2
60911041,89,1,2
60911041,92,1,2
60911041,99,1,4
60911041,127,1,2
60911041,129,1,2
60911041,138,1,2
60911041,139,1,4
60911041,141,1,2
60911041,147,1,2
60911041,160,1,2
60911041,176,1,4
60911041,184,1,2
60911043,22,1,4
60911043,32,1,4
60911043,46,1,4
60911043,58,1,2
60911043,59,1,4
60911043,60,1,4
60911043,61,1,4
60911043,67,1,4
60911043,68,1,2
60911043,76,1,2
60911043,127,1,2
60911043,129,1,4
60911043,141,1,2
60911043,143,1,4
60911043,147,1,2
60911043,160,1,2
60911043,161,1,2
60911043,184,1,2
60911043,186,1,2
60911043,191,1,4
60911060,22,1,4
60911060,54,1,2
60911060,59,1,4
60911060,60,1,2
60911060,61,1,2
60911060,67,1,4
60911060,68,1,4
60911060,76,1,2
60911060,99,1,2
60911060,138,1,2
60911060,139,1,2
60911060,141,1,2
60911060,147,1,2
60911060,160,1,2
60911060,161,1,2
60911060,176,1,2
60911060,181,1,2
60911060,186,1,2
60911060,191,1,2
60911065,22,1,4
60911065,32,1,4
60911065,46,1,4
60911065,54,1,4
60911065,58,1,4
60911065,59,1,4
60911065,60,1,4
60911065,61,1,2
60911065,67,1,4
60911065,76,1,2
60911065,89,1,2
60911065,127,1,2
60911065,138,1,4
60911065,141,1,2
60911065,143,1,4
60911065,147,1,2
60911065,160,1,2
60911065,161,1,2
60911065,162,1,4
60911065,176,1,4
60911065,184,1,2
60911065,191,1,2
60911069,22,1,4
60911069,45,1,2
60911069,54,1,2
60911069,58,1,2
60911069,59,1,2
60911069,60,1,4
60911069,61,1,2
60911069,76,1,2
60911069,92,1,2
60911069,99,1,2
60911069,127,1,2
60911069,129,1,4
60911069,138,1,2
60911069,139,1,2
60911069,141,1,2
60911069,143,1,4
60911069,147,1,2
60911069,160,1,2
60911069,161,1,2
60911069,162,1,4
60911069,176,1,2
60911069,181,1,2
60911069,184,1,2
60911069,186,1,4
60911072,22,1,4
60911072,32,1,4
60911072,46,1,4
60911072,54,1,4
60911072,60,1,2
60911072,61,1,4
60911072,67,1,4
60911072,68,1,4
60911072,76,1,2
60911072,89,1,4
60911072,99,1,4
60911072,127,1,4
60911072,129,1,2
60911072,138,1,2
60911072,139,1,2
60911072,141,1,2
60911072,143,1,4
60911072,147,1,2
60911072,160,1,2
60911072,161,1,2
60911072,162,1,2
60911072,176,1,2
60911072,184,1,2
60911072,191,1,2
90910001,22,1,4
90910001,32,1,4
90910001,54,1,4
90910001,58,1,2
90910001,60,1,4
90910001,61,1,2
90910001,67,1,4
90910001,76,1,2
90910001,89,1,4
90910001,139,1,2
90910001,141,1,2
90910001,147,1,2
90910001,160,1,2
90910001,161,1,2
90910001,162,1,4
90910001,181,1,2
90910001,186,1,2
90910001,191,1,4
90910004,22,1,4
90910004,32,1,4
90910004,46,1,4
90910004,58,1,2
90910004,59,1,4
90910004,60,1,4
90910004,68,1,4
90910004,76,1,2
90910004,92,1,2
90910004,99,1,4
90910004,127,1,2
90910004,138,1,2
90910004,139,1,4
90910004,141,1,2
90910004,143,1,4
90910004,147,1,4
90910004,162,1,4
90910004,176,1,4
90910004,184,1,2
90910004,191,1,4
90910033,32,1,4
90910033,45,1,4
90910033,46,1,4
90910033,54,1,2
90910033,59,1,4
90910033,60,1,4
90910033,61,1,4
90910033,67,1,4
90910033,68,1,4
90910033,76,1,2
90910033,89,1,2
90910033,92,1,2
90910033,99,1,2
90910033,127,1,2
90910033,129,1,4
90910033,141,1,2
90910033,143,1,4
90910033,147,1,2
90910033,160,1,2
90910033,176,1,4
90910033,181,1,2
90910033,184,1,4
90910033,186,1,2
90910033,191,1,4
90910034,22,1,4
90910034,32,1,4
90910034,54,1,4
90910034,58,1,2
90910034,59,1,2
90910034,60,1,2
90910034,61,1,4
90910034,76,1,2
90910034,92,1,2
90910034,99,1,2
90910034,139,1,2
90910034,160,1,2
90910034,161,1,2
90910034,162,1,4
90910034,181,1,2
90910034,184,1,2
90910034,186,1,2
90910038,32,1,4
90910038,46,1,4
90910038,60,1,2
90910038,61,1,4
90910038,67,1,4
90910038,68,1,4
90910038,89,1,4
90910038,99,1,4
90910038,127,1,2
90910038,129,1,4
90910038,143,1,4
90910038,147,1,2
90910038,162,1,4
90910038,176,1,4
90910038,181,1,4
